Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2024-07-31 09:30:00-04:00,5.900000095367432,5.929999828338623,5.855000019073486,5.869900226593018,0,0.0,0.0,0.0
2024-07-31 10:30:00-04:00,5.869900226593018,5.909999847412109,5.860000133514404,5.894999980926514,240036,0.0,0.0,0.0
2024-07-31 11:30:00-04:00,5.894999980926514,5.920000076293945,5.885000228881836,5.900000095367432,281708,0.0,0.0,0.0
2024-07-31 12:30:00-04:00,5.90500020980835,5.909999847412109,5.880000114440918,5.900000095367432,859844,0.0,0.0,0.0
2024-07-31 13:30:00-04:00,5.909299850463867,5.929999828338623,5.860000133514404,5.880000114440918,152489,0.0,0.0,0.0
2024-07-31 14:30:00-04:00,5.872700214385986,5.909999847412109,5.821000099182129,5.829899787902832,869172,0.0,0.0,0.0
2024-07-31 15:30:00-04:00,5.840000152587891,5.853099822998047,5.760000228881836,5.789700031280518,0,0.0,0.0,0.0
2024-07-31 16:00:00-04:00,5.79,5.81,5.73,5.75,0,0.0,0.0,0.0
2024-07-31 17:00:00-04:00,5.75,5.96,5.7,5.7999,0,0.0,0.0,0.0
2024-07-31 18:00:00-04:00,5.8,5.81,5.71,5.7601,0,0.0,0.0,0.0
2024-07-31 19:00:00-04:00,5.7601,5.77,5.73,5.7499,0,0.0,0.0,0.0
2024-08-01 04:00:00-04:00,5.7,5.75,5.7,5.71,0,0.0,0.0,0.0
2024-08-01 05:00:00-04:00,5.71,5.73,5.71,5.73,0,0.0,0.0,0.0
2024-08-01 06:00:00-04:00,5.73,5.75,5.69,5.71,0,0.0,0.0,0.0
2024-08-01 07:00:00-04:00,5.71,5.75,5.71,5.72,0,0.0,0.0,0.0
2024-08-01 08:00:00-04:00,5.72,5.75,5.72,5.75,0,0.0,0.0,0.0
2024-08-01 09:00:00-04:00,5.75,5.76,5.74,5.75,0,0.0,0.0,0.0
2024-08-01 09:30:00-04:00,5.730000019073486,5.760000228881836,5.695000171661377,5.699999809265137,8391139,0.0,0.0,0.0
2024-08-01 10:30:00-04:00,5.699999809265137,5.730000019073486,5.579999923706055,5.585000038146973,27260191,0.0,0.0,0.0
2024-08-01 11:30:00-04:00,5.580900192260742,5.605000019073486,5.559999942779541,5.579999923706055,2064287,0.0,0.0,0.0
2024-08-01 12:30:00-04:00,5.585899829864502,5.590000152587891,5.539999961853027,5.555500030517578,1616225,0.0,0.0,0.0
2024-08-01 13:30:00-04:00,5.559700012207031,5.614999771118164,5.519999980926514,5.585000038146973,2061209,0.0,0.0,0.0
2024-08-01 14:30:00-04:00,5.580100059509277,5.619999885559082,5.559999942779541,5.610000133514404,986639,0.0,0.0,0.0
2024-08-01 15:30:00-04:00,5.619699954986572,5.630000114440918,5.600100040435791,5.620100021362305,408344,0.0,0.0,0.0
2024-08-01 16:00:00-04:00,5.62,5.76,5.61,5.76,0,0.0,0.0,0.0
2024-08-01 17:00:00-04:00,5.76,5.77,5.65,5.7,0,0.0,0.0,0.0
2024-08-01 18:00:00-04:00,5.72,5.85,5.72,5.8296,0,0.0,0.0,0.0
2024-08-01 19:00:00-04:00,5.81,5.83,5.76,5.83,0,0.0,0.0,0.0
